game_date,shirt_no,player_name,on_for,off_for
1977-11-05,9.0,Ronnie Moore,,12.0
1977-11-05,12.0,John James,9.0,
1977-11-12,4.0,Les Parry,,12.0
1977-11-12,12.0,John James,4.0,
1977-11-19,11.0,Russell Allen,,12.0
1977-11-19,12.0,John James,11.0,
1977-11-26,12.0,John James,2.0,
1977-11-26,2.0,Ray Mathias,,12.0
1977-11-29,8.0,Mark Palios,,12.0
1977-11-29,12.0,John Bramhall,8.0,
1977-12-02,11.0,Russell Allen,,12.0
1977-12-02,12.0,John James,11.0,
1977-12-10,7.0,Steve Peplow,,12.0
1977-12-10,12.0,John James,7.0,
1978-01-06,7.0,Steve Peplow,,12.0
1978-01-06,12.0,Eddie Cliff,7.0,
1978-01-17,10.0,Bobby Tynan,,12.0
1978-01-17,12.0,Eddie Cliff,10.0,
1978-02-03,5.0,Dave Philpotts,,12.0
1978-02-03,12.0,John Bramhall,5.0,
1978-03-06,4.0,Les Parry,,12.0
1978-03-06,12.0,John Bramhall,4.0,
1978-03-14,12.0,John James,7.0,
1978-03-14,7.0,Steve Peplow,,12.0
1978-03-18,4.0,Les Parry,,12.0
1978-03-18,12.0,Dave Philpotts,4.0,
1978-03-31,7.0,Eddie Cliff,,12.0
1978-03-31,12.0,John Bramhall,7.0,
1978-04-11,7.0,Mark Palios,,12.0
1978-04-11,12.0,Eddie Cliff,7.0,
1978-04-22,4.0,Steve Craven,,12.0
1978-04-22,12.0,Steve Peplow,4.0,
1978-08-12,7.0,Steve Peplow,,12.0
1978-08-12,12.0,John Kerr,7.0,
1978-08-16,4.0,Mark Palios,,12.0
1978-08-16,12.0,John Kerr,4.0,
1978-08-19,12.0,John Kerr,8.0,
1978-08-19,8.0,Mark Palios,,12.0
1978-08-21,12.0,John Kerr,8.0,
1978-08-21,8.0,Tommy O'Neil,,12.0
1978-08-26,8.0,Steve Craven,,12.0
1978-08-26,12.0,Eddie Cliff,8.0,
1978-09-25,2.0,Ray Mathias,,12.0
1978-09-25,12.0,Dennis Postlewhite,2.0,
1978-09-30,10.0,Steve Craven,,12.0
1978-09-30,12.0,Steve Peplow,10.0,
1978-10-16,3.0,Eddie Flood,,12.0
1978-10-16,12.0,Mark Palios,3.0,
1978-11-10,8.0,John Bramhall,,12.0
1978-11-10,12.0,Mark Palios,8.0,
1978-11-18,11.0,Eddie Flood,,12.0
1978-11-18,12.0,Hughie McAuley,11.0,
1978-12-09,11.0,Hughie McAuley,,12.0
1978-12-09,12.0,Steve Craven,11.0,
1978-12-19,12.0,Dennis Postlewhite,11.0,
1978-12-19,11.0,Hughie McAuley,,12.0
1979-02-03,7.0,Steve Peplow,,12.0
1979-02-03,12.0,Hughie McAuley,7.0,
1979-02-10,8.0,John Bramhall,,12.0
1979-02-10,12.0,John Kerr,8.0,
1979-03-03,11.0,Hughie McAuley,,12.0
1979-03-03,12.0,Steve Peplow,11.0,
1979-03-16,10.0,Steve Peplow,,12.0
1979-03-16,12.0,Mark Palios,10.0,
1979-03-26,7.0,Steve Craven,,12.0
1979-03-26,12.0,Steve Peplow,7.0,
1979-03-30,7.0,Steve Craven,,12.0
1979-03-30,12.0,John Thomas,7.0,
1979-04-03,12.0,Steve Craven,4.0,
1979-04-03,4.0,Les Parry,,12.0
1979-04-14,5.0,John Bramhall,,12.0
1979-04-14,12.0,Steve Craven,5.0,
1979-04-18,8.0,Tommy O'Neil,,12.0
1979-04-18,12.0,Steve Peplow,8.0,
1979-04-27,7.0,Steve Craven,,12.0
1979-04-27,12.0,Steve Peplow,7.0,
1979-04-30,10.0,John Thomas,,12.0
1979-04-30,12.0,Steve Craven,10.0,
1979-05-04,11.0,Ian Griffiths,,12.0
1979-05-04,12.0,Steve Whittingham,11.0,
1979-08-15,9.0,John Kerr,,12.0
1979-08-15,12.0,Dennis Postlewhite,9.0,
1979-08-29,12.0,Dennis Postlewhite,9.0,
1979-08-29,9.0,John Kerr,,12.0
1979-09-04,12.0,Mark Palios,9.0,
1979-09-04,9.0,John Kerr,,12.0
1979-09-17,11.0,Steve Peplow,,12.0
