game_date,player_name,goal_no,goal_min,added_time,penalty,own_goal
2024-01-01,Harvey Saunders,1,56,0,0,0
2024-01-01,Connor Jennings,2,90,3,1,0
2024-01-13,Kieron Morris,1,12,0,0,0
2024-01-27,Rob Apter,1,35,0,0,0
2024-01-27,Toby Mullarkey,1,54,0,0,1
2024-02-10,Josh Hawkes,1,60,0,0,0
2024-02-13,Rob Apter,1,4,0,0,0
2024-02-13,Connor Jennings,1,10,0,1,0
2024-02-17,Tom Davies,1,30,0,0,0
2024-02-17,Jordan Turnbull,1,55,0,0,0
2024-02-17,Jordan Turnbull,2,63,0,0,0
2024-02-17,Connor Jennings,1,85,0,0,0
2024-02-27,Rob Apter,1,25,0,0,0
2024-03-02,Rob Apter,1,87,0,0,0
2024-03-09,Regan Hendry,1,4,0,0,0
2024-03-12,Regan Hendry,1,12,0,0,0
2024-03-12,Rob Apter,1,56,0,0,0
2024-03-16,Luke Norris,1,8,0,0,0
2024-03-23,Luke Norris,1,21,0,0,0
2024-04-01,Kieron Morris,1,7,0,0,0
2024-04-06,Regan Hendry,1,24,0,0,0
2024-04-13,Rob Apter,1,25,0,0,0
2024-04-13,Rob Apter,2,36,0,0,0
2024-04-20,Harvey Saunders,1,35,0,0,0
2024-04-20,Rob Apter,1,45,0,0,0
2024-04-20,Connor Jennings,1,71,0,0,0
2024-04-27,Luke Norris,1,2,0,0,0
2024-08-13,Harvey Saunders,1,3,0,0,0
2024-08-13,Josh Williams,1,45,0,0,0
2024-08-13,Omari Patrick,1,71,0,0,0
2024-08-20,Josh Davison,1,11,0,0,0
2024-08-24,Omari Patrick,1,13,0,0,0
