game_date,player_name,card_min,card_inj_time
2019-04-06,Ollie Banks,67,0
2019-04-06,Emmanuel Monthe,73,0
2019-04-06,David Perkins,84,0
2019-04-13,Jay Harris,90,2
2019-04-19,James Norwood,80,0
2019-04-22,James Norwood,88,0
2019-04-30,Connor Jennings,68,0
2019-04-30,Ollie Banks,83,0
2019-05-04,Adam Buxton,76,0
2019-05-13,Ollie Banks,16,0
2019-05-25,David Perkins,77,0
2019-08-03,Connor Jennings,45,2
2019-08-03,Ollie Banks,53,0
2019-08-03,Morgan Ferrier,90,4
2019-08-13,George Ray,74,0
2019-08-17,Morgan Ferrier,28,0
2019-08-17,George Ray,72,0
2019-08-17,Paul Mullin,80,0
2019-08-20,Emmanuel Monthe,13,0
2019-08-20,Ollie Banks,29,0
2019-08-20,George Ray,68,0
2019-08-31,Stefan Payne,45,0
2019-08-31,Sid Nelson,90,6
2019-08-31,Paul Mullin,90,7
2019-09-07,Stefan Payne,38,0
2019-09-14,Calum Woods,26,0
2019-09-14,Sid Nelson,57,0
2019-09-17,Darren Potter,82,0
2019-09-21,Ollie Banks,60,0
2019-09-21,Cameron Borthwick-Jackson,66,0
2019-09-28,Darren Potter,33,0
2019-09-28,Stefan Payne,47,0
2019-10-05,Connor Jennings,19,0
2019-10-05,Neil Danns,22,0
2019-10-13,Stefan Payne,38,0
2019-10-13,Rushian Hepburn-Murphy,59,0
2019-10-13,Scott Davies,70,0
2019-10-18,Emmanuel Monthe,68,0
2019-10-22,George Ray,25,0
2019-10-22,Stefan Payne,40,0
2019-11-02,Connor Jennings,45,2
2019-11-02,Emmanuel Monthe,58,0
2019-11-02,Paul Mullin,83,0
2019-11-17,Liam Ridehalgh,32,0
2019-11-17,Darren Potter,65,0
2019-11-20,Morgan Ferrier,32,0
2019-11-20,Scott Davies,57,0
2019-11-20,Emmanuel Monthe,71,0
2019-12-01,Connor Jennings,81,0
2019-12-04,Carl Spellman,30,0
2019-12-04,Rushian Hepburn-Murphy,45,2
2019-12-04,Connor Jennings,88,0
2019-12-04,Jacob Maddox,90,2
2019-12-04,Neil Danns,90,12
2019-12-04,Sid Nelson,90,18
2019-12-14,Corey Blackett-Taylor,36,0
2019-12-21,Sid Nelson,48,0
2019-12-21,David Perkins,90,3
2019-12-26,Kieron Morris,45,2
2019-12-26,Neil Danns,90,4
2020-01-01,Kieron Morris,24,0
2020-01-04,Connor Jennings,70,0
2020-01-04,Emmanuel Monthe,90,4
2020-01-07,Paul Mullin,23,0
2020-01-11,Emmanuel Monthe,16,0
